FIPS,vaccgivenpercaptia,Hesitancy,dosewastedpercapita,vacc_complete,Census2019,vaccnum,UrbRur,demrep,demv,repv,mystate
16049,0.877062459,0.19,0.322913542,97.7,16667,5250,6,Republican,1561,7826,ID
16051,1.118074387,0,0,97.7,29871,13179,4,Republican,1661,12099,ID
16053,1.245248239,0.2,1.665082746,97.7,24412,11595,5,Republican,1893,5734,ID
16055,1.311224705,0.19,0.372740605,97.7,165697,79081,4,Republican,24312,62837,ID
16057,1.705919019,0.19,0.556547322,97.7,40108,24692,5,Democrate,10236,9472,ID
16059,1.390307711,0.19,0.531830074,97.7,8027,3911,6,Republican,1032,3592,ID
16061,1.493746743,0,0,97.7,3838,2065,6,Republican,349,1489,ID
16063,1.117405889,0,0,97.7,5366,2276,5,Republican,414,1469,ID
16065,1.395469467,0.2,0.095196331,97.7,39907,22483,5,Republican,2666,13559,ID
16067,1.155283046,0.2,0,97.7,21039,9325,5,Republican,1550,6265,ID
16069,1.57204019,0.19,0.27153039,97.7,40408,23840,4,Republican,6686,13738,ID
16071,1.291105716,0.2,0.337894505,97.7,4531,2159,6,Republican,249,2148,ID
16073,0.976909414,0.19,0,97.7,11823,4312,3,Republican,816,3819,ID
16075,0.878835957,0.17,0.213728028,97.7,23951,7851,5,Republican,2161,8862,ID
16077,1.377424814,0,0,97.7,7681,4033,6,Republican,865,2116,ID
16079,1.23870517,0.19,0.423769601,97.7,12882,5670,6,Republican,1693,4216,ID
16081,1.802503706,0,0,97.7,12142,7865,5,Democrate,3318,2858,ID
16083,1.380901954,0.2,0.035037639,97.7,86878,44562,5,Republican,9391,25897,ID
16085,1.879037921,0.19,0.119030899,97.7,11392,7291,6,Republican,2976,3947,ID
16087,1.088287228,0.17,0.263488326,97.7,10194,4174,6,Republican,1073,4154,ID
17001,1.433162681,0.1,0.337541071,98.2,65435,34923,5,Republican,8633,24220,IL
17003,0.980906093,0.1,0.388474223,98.2,5761,2048,4,Republican,1114,1486,IL
17005,1.547363935,0.1,1.062279313,98.2,16426,9268,2,Republican,2288,5625,IL
17007,1.742155984,0.09,0.942813387,98.2,53544,33561,3,Republican,10542,13883,IL
17009,1.466859228,0.1,0.159470964,98.2,6578,3581,6,Republican,486,1931,IL
17011,1.668352335,0.09,0.838359691,98.2,32628,19102,5,Republican,6669,10411,IL
17013,1.46507702,0.1,0,98.2,4739,2513,2,Republican,677,2046,IL
17015,1.856903181,0.09,0.125690318,98.2,14305,9627,6,Republican,2748,5105,IL
17017,1.699020334,0.1,0.397546719,98.2,12147,7665,6,Republican,1615,3625,IL
17019,1.92680112,0.08,0.383448822,98.2,209689,140493,4,Democrate,57067,35285,IL
17021,1.403169886,0.1,0.226102031,98.2,32304,16155,5,Republican,4335,11563,IL
17023,1.456770935,0.11,0.95201088,98.2,15441,7919,6,Republican,1993,6226,IL
17025,1.063637743,0.11,0.821601942,98.2,13184,5145,6,Republican,1129,5629,IL
17027,1.663170225,0.1,0.244395932,98.2,37562,22838,2,Republican,4493,14304,IL
17029,1.313861836,0.1,0.395250983,98.2,50621,23941,5,Republican,8067,14037,IL
17031,2.107963853,0.07,0.376448211,98.2,5150233,3837463,1,Democrate,1725973,558269,IL
17033,1.436652917,0.11,0.325119194,98.2,18667,9780,6,Republican,2202,7043,IL
17035,1.095764444,0.1,0.05879621,98.2,10766,4330,5,Republican,1142,4601,IL
17037,1.605460595,0.08,0.307253782,98.2,104897,60555,2,Democrate,24643,21905,IL
17039,1.49859317,0.1,0.220680394,98.2,15638,8457,4,Republican,2191,5632,IL
17041,1.399126638,0,0,98.2,19465,9823,6,Republican,2335,6227,IL
17043,2.259818554,0.06,0.350137227,98.2,922921,728222,2,Democrate,281222,193611,IL
17045,1.402249286,0,0,98.2,17161,8616,6,Republican,1887,6193,IL
17047,1.114464425,0.1,0.325097733,98.2,6395,2643,6,Republican,488,2833,IL
17049,1.380822159,0.1,0.25,98.2,34008,17052,5,Republican,3716,15006,IL
17051,1.013592051,0.1,0.225909261,98.2,21336,7871,6,Republican,1826,8055,IL
17053,1.661060103,0.11,0.094051385,98.2,12961,7634,4,Republican,1754,5048,IL
17055,1.263692844,0.1,0.280433596,98.2,38469,17727,6,Republican,4760,13622,IL
17057,1.638759464,0.1,0.336400699,98.2,34340,20068,5,Republican,6503,9867,IL
